date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
01-03-2021 10:00,1,119.6178571,55.30714286,43.25610714,769.0478571,82.53914286,316.2714286,27.04285714,61.87142857
01-03-2021 11:00,1,105.8916667,49.08833333,47.76633333,734.777,83.5608,313.09,26.83666667,61.35
01-03-2021 12:00,1,100.7316667,46.11833333,50.67811667,807.739,89.1127,327.0633333,26.66666667,62.41
01-03-2021 13:00,1,84.16166667,39.30166667,52.90285,873.252,97.4876,352.8266667,26.82,63.54666667
01-03-2021 14:00,1,83.80333333,39.13,37.72231667,835.052,76.6915,350.6433333,27.42166667,59.77
01-03-2021 15:00,1,82.67,39.14166667,38.11491667,778.325,81.0201,344.53,27.42833333,59.31
01-03-2021 16:00,1,85.13,39.56333333,46.85026667,792.841,96.79753333,365.0533333,27.51666667,60.84166667
01-03-2021 17:00,1,71.10666667,32.41833333,53.72076667,837.726,103.6354667,389.5066667,28.56166667,61.275
01-03-2021 18:00,1,56.91333333,25.82333333,53.7862,907.441,104.3882667,418.3266667,28.88666667,62.97166667
01-03-2021 19:00,1,42.72,19.34166667,65.20431667,918.519,114.6138,419.2,28.98,65.37333333
01-03-2021 20:00,1,33.60666667,15.06833333,69.19575,817.48,116.0566667,402.6066667,28.94,67.04666667
01-03-2021 21:00,1,29.14,13.57833333,62.16166667,769.73,111.5085,396.93,28.98666667,68.12833333
01-03-2021 22:00,1,26.97,12.815,55.06215,754.068,108.5914,406.9733333,28.98,68.6
01-03-2021 23:00,1,26.4,12.59833333,51.59418333,725.227,105.1724333,399.55,28.97333333,68.72666667
02-03-2021 00:00,1,24.30666667,12.19166667,49.89291667,758.461,102.6317333,412.65,28.96333333,68.90666667
02-03-2021 01:00,1,23.77333333,12.06,47.86448333,820.727,101.3143333,419.2,29.025,68.9
02-03-2021 02:00,1,23.165,11.78333333,46.03235,857.208,101.4711667,424.44,29,69.075
02-03-2021 03:00,1,22.22,11.67166667,42.95698333,820.918,103.0708667,438.4133333,28.99,69.345
02-03-2021 04:00,1,23.12333333,11.78333333,42.76068333,836.771,103.3218,447.5833333,28.96166667,69.58166667
02-03-2021 05:00,1,24.93833333,12.185,45.01813333,882.42,102.8826667,445.4,28.91333333,69.75666667
02-03-2021 06:00,1,27.79166667,13.26833333,47.34101667,949.079,103.8236667,448.8933333,28.885,69.95833333
02-03-2021 07:00,1,28.44166667,13.505,49.10771667,1022.423,105.2665333,472.91,28.92,70.15166667
02-03-2021 08:00,1,40.16666667,17.23,61.54005,964.741,107.2426333,442.3433333,28.94,70.13166667
02-03-2021 09:00,1,56.01666667,24.63,93.79868333,759.416,120.4166333,352.8266667,28.15333333,71.27
02-03-2021 10:00,1,60.145,25.99333333,95.14006667,700.015,95.7938,291.2566667,28.17,68.09333333
02-03-2021 11:00,1,61.30333333,27.88833333,75.34648333,1268.622,81.45923333,282.5233333,27.98333333,64.47333333
02-03-2021 12:00,1,58.94166667,28.46333333,37.6896,2339.177,73.55483333,315.2733333,27.575,61.565
02-03-2021 13:00,1,62.53666667,29.85333333,34.1562,1479.104,74.21353333,320.5133333,27.32666667,59.23666667
02-03-2021 14:00,1,69.31833333,32.96833333,38.24578333,1129.765,76.75423333,324.0066667,27.47666667,58.52166667
02-03-2021 15:00,1,71.42,33.92166667,37.16613333,943.158,80.23593333,334.4866667,27.47666667,57.53833333
02-03-2021 16:00,1,84.595,39.54166667,49.79476667,989.762,96.10746667,360.25,27.53166667,58.98833333
02-03-2021 17:00,1,114.2183333,52.24,64.09195,2028.038,110.7870667,470.7266667,28.55,60.60833333
02-03-2021 18:00,1,78.22666667,35.675,57.54861667,1564.672,106.2075333,463.74,28.97,62.22333333
02-03-2021 19:00,1,52.15,23.655,60.13323333,1119.833,107.0544333,434.0466667,29.08666667,63.55
02-03-2021 20:00,1,40.04333333,18.07833333,61.14745,937.237,109.4696667,418.3266667,29.1,65.17
02-03-2021 21:00,1,34.49333333,15.87666667,52.8047,880.701,106.9917,418.7633333,29.095,65.945
02-03-2021 22:00,1,31.255,14.98833333,48.45338333,893.498,103.8550333,419.2,29.15,66.32166667
02-03-2021 23:00,1,29.96166667,14.43,48.35523333,937.237,104.2000667,440.5966667,29.11166667,66.72166667
03-03-2021 00:00,1,27.39333333,13.61666667,47.8972,968.37,103.9491333,445.4,29.10333333,67.08666667
03-03-2021 01:00,1,26.27333333,13.3,46.39223333,979.448,101.9103,445.4,29.1,67.46333333
03-03-2021 02:00,1,26.38166667,13.35666667,44.03663333,953.09,102.7572,445.4,29.1,67.87833333
03-03-2021 03:00,1,25.3,12.98166667,43.74218333,966.842,101.9103,447.1466667,29.1,68.24333333
03-03-2021 04:00,1,24.12166667,12.59333333,43.21871667,964.932,102.2553333,448.8933333,29.015,68.59666667
03-03-2021 05:00,1,24.59833333,12.73833333,45.05085,987.661,102.1926,466.7966667,29,68.875
03-03-2021 06:00,1,26.95,13.59166667,45.99963333,1050.5,102.0044,473.3466667,29,69.10166667
03-03-2021 07:00,1,29.045,14.28166667,45.57431667,1189.739,103.1963333,497.8,29.04166667,69.22833333
03-03-2021 08:00,1,32.09166667,15.15833333,45.70518333,1193.177,103.0708667,500.8566667,29.265,68.68666667
03-03-2021 09:00,1,52.04666667,22.81333333,44.10206667,956.719,77.78933333,486.01,29.07833333,64.73833333
